"Ürün","Kategori","Alt Kategori","Saklama Koşulu","Raf Ömrü","Stok","Satış Fiyatı","Rezerv","Statü"
"Hayat Su Bebekler İçin (6 x 330 ml)","Su & İçecek","Su","Oda Koşulları","540","0","₺11,75","","Aktif"
"Mr. NO Klasik Kaşar Salam Sandviç (145 g)","Yiyecek","Sandviç","+4","16","7","₺16,90","","Aktif"
"Tire Süt Kooperatifi Cam Şişe Pastörize Süt (1 L)","Süt & Kahvaltı","Süt","+4","7","0","₺13,50","","Aktif"
"Verita Dilimlenmiş Hindistan Cevizi (40 g)","Meyve & Sebze","Meyve","+4","7","0","₺4,95","","Aktif"
"Sek Quark İncir Ceviz (140 g)","Süt & Kahvaltı","Peynir","+4","31","0","₺7,55","","Aktif"
"Sek Quark Sade (140 g)","Süt & Kahvaltı","Peynir","+4","31","Sayımda","₺7,55","","Aktif"
"Gourmet Garage Zeytinyağlı Biber Dolma (250 g)","Yiyecek","Meze","+4","21","0","₺22,90","","İnaktif"
"Fresh World Bistro Salata (120 g)","Yiyecek","Taze Yemek","+4","6","0","₺10,95","","İnaktif"
"Bahçıvan Dil Peyniri (200 g)","Süt & Kahvaltı","Peynir","+4","180","7","₺20,90","1","Aktif"
"Polonez Fıstıklı Salam (110 g)","Süt & Kahvaltı","Şarküteri","+4","120","Sayımda","₺20,90","","Aktif"
"Bahçıvan Dilimli Tost Peyniri (225 g)","Süt & Kahvaltı","Peynir","+4","150","16","₺20,25","","Aktif"
"Fresh World Garden Salata (120 g)","Yiyecek","Taze Yemek","+4","6","0","₺10,95","","İnaktif"
"Posta Gazetesi","Ev & Yaşam","Gazete & Dergi","Oda Koşulları","1","1","₺1,25","","Aktif"
"Hürriyet Gazetesi","Ev & Yaşam","Gazete & Dergi","Oda Koşulları","1","2","₺1,50","","Aktif"
"Uno Sandviç Ekmeği (5'li)","Fırından","Unlu Mamüller","Oda Koşulları","13","13","₺9,75","","Aktif"
"Uno Kahvaltılık Ekmek (8'li)","Fırından","Unlu Mamüller","Oda Koşulları","21","0","₺19,95","","Aktif"
"Uno Denge Tam Buğdaylı & Çiya Tohumlu Ekmek (350 g)","Fırından","Unlu Mamüller","Oda Koşulları","8","0","₺10,45","","Aktif"
"Uno Susamlı Hamburger Ekmeği (6'lı)","Fırından","Unlu Mamüller","Oda Koşulları","15","9","₺14,45","","Aktif"
"Uno Otantik Tava Ekmeği (550 g)","Fırından","Unlu Mamüller","Oda Koşulları","17","16","₺12,75","","Aktif"
"UNO Tarçınlı Elmalı Tart (65 g)","Fırından","Unlu Mamüller","Oda Koşulları","60","0","₺2,25","","İnaktif"
"Uno Tost Ekmeği (350 g)","Fırından","Unlu Mamüller","Oda Koşulları","19","21","₺7,45","","Aktif"
"Uno Çikolata Kremalı Kruvasan (10'lu)","Fırından","Unlu Mamüller","Oda Koşulları","90","16","₺14,95","","Aktif"
"Doğa Toz Şeker (1 kg)","Temel Gıda","Şeker","Oda Koşulları","1080","0","₺4,00","","Aktif"
"Aroma Şeftali Nektarı Cam Şişe (6 x 200 ml)","Su & İçecek","Meyve Suyu","Oda Koşulları","540","0","₺17,00","","Aktif"
"Milka Happy Cows (100 g)","Atıştırmalık","Çikolata","Oda Koşulları","275","0","₺13,15","","Aktif"
"Yayla Arabiata Soslu Makarna (250 g)","Yiyecek","Hazır Yemek","Oda Koşulları","365","47","₺8,15","","Aktif"
"Pepsi Mango (250 ml)","Su & İçecek","Gazlı İçecek","Oda Koşulları","180","0","₺3,10","","Aktif"
"Tat Pratik Domates Püresi (200 ml)","Temel Gıda","Salça & Sos","Oda Koşulları","365","0","₺4,25","","Aktif"
"Cakes & Bakes Vişneli Brownie (160 g)","Yiyecek","Tatlı","Oda Koşulları","10","0","₺14,95","","İnaktif"
"Uludağ Maden Suyu (6 x 200 ml)","Su & İçecek","Maden Suyu","Oda Koşulları","365","0","₺10,55","","Aktif"
"Tat Geleneksel Çilek Reçeli (380 g)","Süt & Kahvaltı","Bal & Reçel","Oda Koşulları","912","17","₺13,95","","Aktif"
"Sek UHT %3 Yağlı Süt (6 x 200 ml)","Süt & Kahvaltı","Süt","Oda Koşulları","120","0","₺15,25","","Aktif"
"Dardanel Zeytinyağlı Konserve Ton Balığı (2 x 150 g)","Yiyecek","Konserve & Turşu","Oda Koşulları","1080","10","₺44,90","","Aktif"
"Ülker Dido Trio Çikolatalı Gofret (36,5 g)","Atıştırmalık","Gofret","+18 maksimum","365","59","₺2,75","","Aktif"
"Casa Verde Enginar Kalbi (280 g)","Yiyecek","Konserve & Turşu","Oda Koşulları","1080","12","₺28,95","","Aktif"
"Nestlé Kitkat Chunky (38 g)","Atıştırmalık","Çikolata","Oda Koşulları","365","0","₺3,25","","Aktif"
"Kahve Dünyası Guatemala Filtre Kahve (200 g)","Su & İçecek","Kahve","Oda Koşulları","180","5","₺56,25","","Aktif"
"Uludağ Premium Maden Suyu (6 x 250 ml)","Su & İçecek","Maden Suyu","Oda Koşulları","365","5","₺30,45","","Aktif"
"Dimes Vişne İçeceği (200 ml)","Su & İçecek","Meyve Suyu","Oda Koşulları","450","41","₺2,45","","Aktif"
"Malatya Pazarı Medine Mebrum Hurma (300 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","180","0","₺42,90","","Aktif"
"Veggy Tofu (300 g)","Yiyecek","Vegan","Oda Koşulları","365","3","₺25,75","","Aktif"
"Sütaş Yarım Yağlı Süt (4 x 1 L)","Süt & Kahvaltı","Süt","Oda Koşulları","150","0","₺28,90","","Aktif"
"Kemal Kükrer %100 Nar Ekşisi (250 ml)","Temel Gıda","Sirke & Salata Sosu","Oda Koşulları","720","19","₺25,95","","Aktif"
"Calve Ketçap & Light Mayonez (600 g & 540 g)","Temel Gıda","Salça & Sos","Oda Koşulları","270","0","₺34,95","","Aktif"
"Peyman Bahçeden Çiğ Karışık Klasik (165 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","180","10","₺24,25","","Aktif"
"Dimes Şeftali Nektarı (200 ml)","Su & İçecek","Meyve Suyu","Oda Koşulları","450","32","₺2,45","","Aktif"
"Elvan Gazoz Karışık Meyveli (6 x 250 ml)","Su & İçecek","Gazlı İçecek","Oda Koşulları","365","0","₺15,75","","Aktif"
"Milka Tuc Krakerli Çikolata (87 g)","Atıştırmalık","Çikolata","Oda Koşulları","275","0","₺9,75","","Aktif"
"Coca-Cola Light (6 x 250 ml)","Su & İçecek","Gazlı İçecek","Oda Koşulları","360","24","₺20,95","","Aktif"
"Lay's Klasik Patates Cipsi (150 g)","Atıştırmalık","Cips","Oda Koşulları","150","27","₺7,99","","Aktif"
"Starbucks Doubleshot Espresso Şeker İlavesiz (200 ml)","Su & İçecek","Soğuk Çay & Kahve","Oda Koşulları","365","0","₺22,15","","Aktif"
"Marmarabirlik Kuru Sele Siyah Zeytin (400 g)","Süt & Kahvaltı","Zeytin","Oda Koşulları","540","8","₺20,95","","Aktif"
"Nescafé Xpress Café Vanilla (250 ml)","Su & İçecek","Soğuk Çay & Kahve","Oda Koşulları","400","6","₺8,75","2","Aktif"
"Coca-Cola (6 x 250 ml)","Su & İçecek","Gazlı İçecek","Oda Koşulları","365","22","₺20,95","","Aktif"
"Lindt Excellence %70 Kakao Bitter Çikolata (100 g)","Atıştırmalık","Çikolata","+18 maksimum","365","0","₺41,95","","Aktif"
"Çerezza Sinema Peynir & Soğan Aromalı Mısır Cipsi (117 g)","Atıştırmalık","Cips","Oda Koşulları","120","21","₺6,59","","Aktif"
"Mom's Kakao & Fındık Granola (360 g)","Fit & Form","Granola","Oda Koşulları","365","4","₺35,90","","Aktif"
"Sek %3 Yağlı Süt (1 L)","Süt & Kahvaltı","Süt","Oda Koşulları","150","0","₺7,45","","Aktif"
"Ülker Çokokrem Cam Kavanoz (350 g)","Atıştırmalık","Sürülebilir","Oda Koşulları","365","10","₺15,95","","Aktif"
"Ülker Antep Fıstıklı Kare Çikolata (65 g)","Atıştırmalık","Çikolata","+18 maksimum","365","36","₺8,25","","Aktif"
"Mom's Yaban Mersinli Granola (360 g)","Fit & Form","Granola","Oda Koşulları","365","4","₺35,90","","Aktif"
"Sütaş Light Süt (1 L)","Süt & Kahvaltı","Süt","Oda Koşulları","150","22","₺8,45","","Aktif"
"Nescafé Dolce Gusto Americano Kahve Kapsülü (16'lı)","Su & İçecek","Kahve","Değerli Ürün","270","0","₺49,95","","Aktif"
"Tat Mısır (220 g)","Yiyecek","Konserve & Turşu","Oda Koşulları","720","11","₺7,65","","Aktif"
"Mom's Muz & Ceviz Granola (360 g)","Fit & Form","Granola","Oda Koşulları","365","2","₺35,90","","Aktif"
"Kahve Dünyası Filtre Kahve (250 g)","Su & İçecek","Kahve","Oda Koşulları","365","0","₺26,95","","Aktif"
"Kinoalı Keten Tohumlu Grissini (100 g)","Fırından","Unlu Mamüller","Oda Koşulları","75","0","₺12,45","","İnaktif"
"Beyoğlu Gazozu Zencefilli (6 x 250 ml)","Su & İçecek","Gazlı İçecek","Oda Koşulları","545","2","₺24,75","","Aktif"
"Peyman Bahçeden Hurma (150 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","300","23","₺18,25","","Aktif"
"Ayıklanmış Maydanoz (50 g)","Meyve & Sebze","Sebze","+4","6","22","₺3,25","","Aktif"
"Amasya Elması (600 g)","Meyve & Sebze","Meyve","+8-12","7","0","₺9,75","","Aktif"
"Mantar (250 g)","Meyve & Sebze","Sebze","+4","6","0","₺6,25","","Aktif"
"Kırmızı Lahana (1 Adet)","Meyve & Sebze","Sebze","+8-12","10","0","₺4,45","","Aktif"
"İthal Muz (600 g)","Meyve & Sebze","Meyve","+8-12","7","118","₺13,95","","Aktif"
"Kahvaltılık Domates (250 g)","Meyve & Sebze","Sebze","+8-12","7","45","₺8,95","","Aktif"
"Kokteyl Domates (500 g)","Meyve & Sebze","Sebze","+8-12","7","34","₺9,95","","Aktif"
"Cherry Domates (250 g)","Meyve & Sebze","Sebze","+8-12","13","0","₺5,95","","Aktif"
"Erik (80 - 100 g)","Meyve & Sebze","Meyve","+8-12","7","0","₺12,45","","İnaktif"
"Salkım Domates (1 kg)","Meyve & Sebze","Sebze","+8-12","14","0","₺12,75","","Aktif"
"Yumoş Doğal Özler Çamaşır Yumuşatıcı Badem 50 Yıkama (1200 ml)","Ev Bakım","Çamaşır","Oda Koşulları","540","0","₺29,99","","Aktif"
"Yumoş Doğal Özler Bebek Çamaşır Yumuşatıcı Saf Beyaz 50 Yıkama (1200 ml)","Ev Bakım","Çamaşır","Oda Koşulları","","0","₺32,50","","Aktif"
"Yumoş Extra Konsantre Çamaşır Yumuşatıcı Lavanta Manolya 60 Yıkama (1440 ml)","Ev Bakım","Çamaşır","Oda Koşulları","540","0","₺33,95","","İnaktif"
"Duru Saf & Doğal Klasik Kalıp Sabun (4 x 150 g)","Kişisel Bakım","Sabun","Oda Koşulları","1800","5","₺18,95","","Aktif"
"Omo Toz Çamaşır Deterjanı Color 10 Yıkama (1,5 kg)","Ev Bakım","Çamaşır","Oda Koşulları","720","0","₺18,29","","Aktif"
"Ecos3 Ekolojik Mucize Sprey (750 ml)","Ev Bakım","Temizlik","Oda Koşulları","1080","0","₺44,50","","Aktif"
"Protex Antibakteriyel Ultra Koruma Sıvı Sabun (300 ml)","Kişisel Bakım","Sabun","Oda Koşulları","","0","₺20,90","","Aktif"
"Prima Bebek Bezi Aktif Bebek 6 Beden Ekstra Large (23 Adet)","Bebek","Bebek Bezi","Oda Koşulları","","0","₺58,90","","Aktif"
"Duru Granül Matik Sabun Klasik 25 Yıkama (1 kg)","Ev Bakım","Çamaşır","Oda Koşulları","2520","0","₺39,99","","Aktif"
"Cook Kendinden Kilitli Buz Torbası (7'li)","Ev Bakım","Mutfak","Oda Koşulları","","0","₺7,95","","Aktif"
"Lindo Cat Kedi Kumu Pudralı İnce Taneli (10 L)","Evcil Hayvan","Kedi","Oda Koşulları","720","0","₺37,90","","Aktif"
"Trendline Kristal Kedi Kumu (3,6 L)","Evcil Hayvan","Kedi","Oda Koşulları","","0","₺55,90","","Aktif"
"Pisi Pisi Pudralı Kalın Taneli Kedi Kumu (10 kg)","Evcil Hayvan","Kedi","Oda Koşulları","","0","₺39,50","","Aktif"
"Omo Matik Toz Çamaşır Deterjanı Active Fresh 40 Yıkama (6 kg)","Ev Bakım","Çamaşır","Oda Koşulları","730","0","₺47,49","","Aktif"
"Prima Bebek Bezi Premium Care 5 Beden (42 Adet)","Bebek","Bebek Bezi","Oda Koşulları","","6","₺128,90","","Aktif"
"Pisi Pisi Kedi Kumu İnce Taneli (10 kg)","Evcil Hayvan","Kedi","Oda Koşulları","720","7","₺52,90","","Aktif"
"Pisi Pisi Kedi Kumu İnce Taneli (5 kg)","Evcil Hayvan","Kedi","Oda Koşulları","720","0","₺32,90","","Aktif"
"Dove Sıvı Sabun Beauty Cream Wash (500 ml)","Kişisel Bakım","Sabun","Değerli Ürün","365","50","₺26,90","1","Aktif"
"Magnum Mini Cookie & Badem (6'lı)","Dondurma","Çoklu","-18","720","0","₺27,50","","Aktif"
"Cornetto Classico Çikolata (125 ml)","Dondurma","Külah","-18","720","49","₺4,50","","Aktif"
"Algida Big Bold Karamel & Çikolatalı (95 ml)","Dondurma","Bar","-18","720","17","₺6,00","","Aktif"
"Magnum Mini Double Çikolata, Karadut & Böğürtlen, Karamel (6'lı)","Dondurma","Çoklu","-18","720","8","₺27,50","","Aktif"
"Şehriyeli Pirinç Pilavı (180 g)","Yiyecek","Taze Yemek","+4","9","0","₺10,95","","İnaktif"
"Ahududu (125 g)","Meyve & Sebze","Meyve","+4","7","0","₺16,95","","Aktif"
"Cakes & Bakes Lezzet Arası Dana Jambonlu Mozzarellalı Üçgen Sandviç (165 g)","Yiyecek","Sandviç","+4","14","2","₺17,95","","Aktif"
"Yaban Mersini (125 g)","Meyve & Sebze","Meyve","+4","7","0","₺22,45","","Aktif"
"Cakes & Bakes Lezzet Arası Salamlı Kaşar Peynirli Üçgen Sandviç (145 g)","Yiyecek","Sandviç","+4","14","5","₺17,95","","Aktif"
"Remziye Hanım Çiftliği Rulo Kaymak (150 g)","Süt & Kahvaltı","Tereyağ & Margarin","+4","50","10","₺22,45","","Aktif"
"Domates Soslu Kuru Fasulye (250 g)","Yiyecek","Taze Yemek","+4","9","0","₺12,90","","İnaktif"
"La Vache Qui Rit Krem Peynir (270 g)","Süt & Kahvaltı","Peynir","+4","240","9","₺20,25","","Aktif"
"Activia Shot Limon & Zencefil & Matcha (80 ml)","Süt & Kahvaltı","Yoğurt","+4","30","0","₺3,75","","Aktif"
"Et Döner & Tereyağlı Pirinç Pilavı (100 g & 80 g)","Yiyecek","Taze Yemek","+4","9","0","₺32,90","","İnaktif"
"Rama Kase Margarin (225 g)","Süt & Kahvaltı","Tereyağ & Margarin","+4","150","0","₺6,95","","Aktif"
"Cakes & Bakes Fındıklı Ekler (170 g)","Yiyecek","Tatlı","+4","14","0","₺19,95","","İnaktif"
"Sek Tereyağı (250 g)","Süt & Kahvaltı","Tereyağ & Margarin","+4","180","0","₺26,95","","Aktif"
"Tas Kebabı (250 g)","Yiyecek","Taze Yemek","+4","9","0","₺21,95","","İnaktif"
"Sütaş Kaymak Gibi Kaymaksız Yoğurt (1250 g)","Süt & Kahvaltı","Yoğurt","+4","25","32","₺15,50","","Aktif"
"Activia Probiyotik Laktozsuz Smoothie Yeşil (200 ml)","Süt & Kahvaltı","Yoğurt","+4","31","5","₺8,20","","Aktif"
"Sek Çiftlik Gurme Kaymaksız Yoğurt (750 g)","Süt & Kahvaltı","Yoğurt","+4","21","0","₺19,90","","Aktif"
"Gourmet Garage Domates Soslu Patlıcan (200 g)","Yiyecek","Meze","+4","21","0","₺19,95","","Aktif"
"CP Fit Light Karabiberli Pişmiş Tavuk Göğsü (150 g)","Yiyecek","Hazır Yemek","+4","21","0","₺7,95","","İnaktif"
"Kiri Sürülebilir Tam Yağlı Porsiyon Taze Peynir (100 g)","Süt & Kahvaltı","Peynir","+4","180","3","₺12,95","","Aktif"
"Maret Pişmiş Döner (200 g)","Yiyecek","Hazır Yemek","+4","25","0","₺18,20","","İnaktif"
"Gedik Tabaklı Pişmiş Piliç Şinitzel (300 g)","Yiyecek","Hazır Yemek","+4","33","6","₺10,95","","Aktif"
"Silifke Çileği (500 g)","Meyve & Sebze","Meyve","+4","7","0","₺22,45","","Aktif"
"Gourmet Garage Çiğ Köfte Porsiyon (200 g)","Yiyecek","Çiğ Köfte","+4","21","4","₺15,95","","Aktif"
"Exotic Limonata (750 ml)","Su & İçecek","Meyve Suyu","+4","30","7","₺12,95","","Aktif"
"Şahin Isıl İşlem Görmüş Kangal Sucuk (180 g)","Süt & Kahvaltı","Şarküteri","+4","180","Sayımda","₺36,90","","Aktif"
"Bahçıvan Rende Mozzarella (150 g)","Süt & Kahvaltı","Peynir","+4","120","0","₺7,45","","İnaktif"
"Ariste Dil Peyniri (250 g)","Süt & Kahvaltı","Peynir","+4","120","2","₺26,95","","Aktif"
"Remziye Hanım Çiftliği Acuka (200 g)","Süt & Kahvaltı","Çikolata & Ezme","+4","365","0","₺15,45","","İnaktif"
"Eker Tombul Ayran (6 x 195 ml)","Su & İçecek","Ayran & Kefir","+4","32","8","₺11,90","","Aktif"
"Namet Hindi Füme Et (200 g)","Süt & Kahvaltı","Şarküteri","+4","120","0","₺12,75","","Aktif"
"Sek Pastörize %3 Yağlı Taze Süt (200 ml)","Süt & Kahvaltı","Süt","+4","14","42","₺4,35","","Aktif"
"Bahçıvan Lezzetli Peynir Topları (200 g)","Süt & Kahvaltı","Peynir","+4","90","7","₺18,45","","Aktif"
"Sek Laktozsuz Pastörize %1,5 Yağlı Taze Süt (1 L)","Süt & Kahvaltı","Süt","+4","23","26","₺12,60","","Aktif"
"Exotic Bağışıklık Dostu Propolisli Karışık Meyveli İçecek (330 ml)","Su & İçecek","Meyve Suyu","+4","35","0","₺10,45","","Aktif"
"Exotic Armutlu Smoothic (330 ml)","Su & İçecek","Meyve Suyu","+4","30","0","₺9,95","","İnaktif"
"Beyaz Peynirli Zeytinli Sandviç (120 g)","Yiyecek","Sandviç","+4","14","0","₺13,50","","İnaktif"
"Exotic Portakal & Nar Suyu (750 ml)","Su & İçecek","Meyve Suyu","+4","40","9","₺14,65","","Aktif"
"Teremyağ Kase Margarin (250 g)","Süt & Kahvaltı","Tereyağ & Margarin","+4","180","12","₺7,45","","Aktif"
"Sütaş Yayık Tereyağı (250 g)","Süt & Kahvaltı","Tereyağ & Margarin","+4","105","14","₺24,50","","Aktif"
"Exotic Portakal Suyu (750 ml)","Su & İçecek","Meyve Suyu","+4","40","40","₺12,95","","Aktif"
"Altınkılıç Kefirix Çilekli (250 ml)","Su & İçecek","Ayran & Kefir","+4","35","Sayımda","₺5,45","","Aktif"
"Cakes & Bakes Peynirli Su Böreği (400 g)","Yiyecek","Taze Yemek","+4","14","4","₺22,50","","Aktif"
"Ariste Erzincan Tulum Peyniri (250 g)","Süt & Kahvaltı","Peynir","+4","180","7","₺29,50","","Aktif"
"Namet 7/24 Çemeni Sıyrılmış Dana Pastırma (50 g)","Süt & Kahvaltı","Şarküteri","+4","150","0","₺22,90","","Aktif"
"Mr. NO Gurme Mozzarella Peynirli ve Dana Jambonlu Sandviç (145 g)","Yiyecek","Sandviç","+4","14","9","₺20,90","","Aktif"
"Diğer 19 LT","","","Oda Koşulları","","0","","","İnaktif"
"Ekmek (250 g)","Fırından","Taze Fırın","Oda Koşulları","1","0","₺2,25","","Aktif"
"Axe Erkek Deodorant Sprey Kaykay & Taze Güller (150 ml)","Kişisel Bakım","Deodorant","Oda Koşulları","1080","26","₺24,00","","Aktif"
"Kronotrop Peru Huabal Espresso Çekirdek (250 g)","Su & İçecek","Kahve","Oda Koşulları","360","0","₺69,90","","Aktif"
"Uni Baby Oyna & Öğren Islak Havlu (3 x 52 Yaprak)","Bebek","Bebek Bakım","Oda Koşulları","","0","₺21,25","","Aktif"
"Fruko Gazoz (330 ml)","Su & İçecek","Gazlı İçecek","Oda Koşulları","180","0","₺1,15","","İnaktif"
"Prima Bebek Bezi Premium Care 3 Beden Midi Jumbo Paket (52 Adet)","Bebek","Bebek Bezi","Oda Koşulları","","4","₺128,90","","Aktif"
"Dalin Floral Bebek Kolonyası (150 ml)","Bebek","Bebek Bakım","Oda Koşulları","","0","₺8,95","","Aktif"
"Prima Bebek Bezi Aktif Bebek 4 Beden Standard (32 Adet)","Bebek","Bebek Bezi","Oda Koşulları","","0","₺58,90","","Aktif"
"Frootie %100 Karadut & Şeftali (6'lı)","Dondurma","Çoklu","-18","360","0","₺20,00","","Aktif"
"Prima Bebek Bezi Aktif Bebek 5 Beden Junior (26 Adet)","Bebek","Bebek Bezi","Oda Koşulları","","0","₺58,90","","Aktif"
"Magnum Vegan Klasik (90 ml)","Dondurma","Çubuk","-18","720","0","₺9,50","","Aktif"
"Marmara Limon Çiçeği Kolonyası (400 ml)","Kişisel Bakım","Kolonya","Oda Koşulları","","0","₺9,95","","İnaktif"
"Frootie Super D-Tox (105 ml)","Dondurma","Bar","-18","720","0","₺6,00","","Aktif"
"Red Bull Enerji İçeceği The White Edition (250 ml)","Su & İçecek","Enerji İçeceği","Oda Koşulları","365","2","₺8,35","","Aktif"
"Kabak (1 kg)","Meyve & Sebze","Sebze","+8-12","10","12","₺13,95","","Aktif"
"Gourmet Garage Baton Sale (150 g)","Fırından","Unlu Mamüller","Oda Koşulları","180","6","₺15,95","","Aktif"
"Bref DeLuxe Katı Tuvalet Bloğu Yasemin (2'li)","Ev Bakım","Temizlik","Oda Koşulları","","0","₺23,50","","Aktif"
"Cook Çok Amaçlı Pişirme Kağıdı (30 x 42 cm)","Ev Bakım","Mutfak","Oda Koşulları","","0","₺15,95","","Aktif"
"Mandıradan Tam Yağlı Olgunlaştırılmış Ezine Beyaz Peyniri (200 g)","Süt & Kahvaltı","Peynir","+4","365","9","₺25,25","","Aktif"
"Mandıradan Tam Yağlı Olgunlaştırılmış Boğatepe Gravyer Peyniri (200 g)","Süt & Kahvaltı","Peynir","+4","365","4","₺44,95","","Aktif"
"Happy Roots Tam Buğday Organik Spagetti (500 g)","Temel Gıda","Makarna","Oda Koşulları","720","0","₺22,90","","Aktif"
"Cakes & Bakes Lezzet Arası Velvet Pasta (630 g)","Fırından","Unlu Mamüller","+4","14","0","₺44,90","","İnaktif"
"Wee Baby Cam Biberon Mavi (240 ml)","Bebek","Biberon & Emzik","Oda Koşulları","","3","₺37,90","","Aktif"
"Gimcat Malt Soft Extra Kedi Macunu Tüy Yumağı Engelleyici (100 g)","Evcil Hayvan","Kedi","Oda Koşulları","360","0","₺109,90","","Aktif"
"Sleepy Natural Külot Bez Junior 5 Beden (48 Adet)","Bebek","Bebek Bezi","Oda Koşulları","","4","₺62,90","","Aktif"
"Scotch Brite Kullan-At Islak Mutfak Bezi (50 Yaprak)","Ev Bakım","Temizlik","Oda Koşulları","1095","0","₺31,50","","Aktif"
"Knorr Körili Çabuk Noodle (66 g)","Yiyecek","Hazır Yemek","Oda Koşulları","270","15","₺3,75","","Aktif"
"Omo Bebek Hassas Ciltler İçin Sıvı Çamaşır Deterjanı 18 Yıkama (900 ml)","Ev Bakım","Çamaşır","Oda Koşulları","720","0","₺43,49","","Aktif"
"Balparmak Apitera Up (7 x 7 g)","Süt & Kahvaltı","Bal & Reçel","Oda Koşulları","545","0","₺17,50","","Aktif"
"Activia Probiyotik Laktozsuz Smoothie Sarı (200 ml)","Süt & Kahvaltı","Yoğurt","+4","31","0","₺8,20","","Aktif"
"Dalin Şampuan Klasik (700 ml)","Bebek","Bebek Bakım","Oda Koşulları","","8","₺24,90","","Aktif"
